Year,Province,District,Medium,Gender,Admissions
2024,Sabaragamuwa,Ratnapura,Sinhala,Male,7247
2024,Sabaragamuwa,Ratnapura,Sinhala,Female,7028
2024,Sabaragamuwa,Ratnapura,Tamil,Male,908
2024,Sabaragamuwa,Ratnapura,Tamil,Female,884
2024,Sabaragamuwa,Ratnapura,English,Male,0
2024,Sabaragamuwa,Ratnapura,English,Female,0
2024,Sabaragamuwa,Kegalle,Sinhala,Male,4401
2024,Sabaragamuwa,Kegalle,Sinhala,Female,4419
2024,Sabaragamuwa,Kegalle,Tamil,Male,927
2024,Sabaragamuwa,Kegalle,Tamil,Female,902
2024,Sabaragamuwa,Kegalle,English,Male,0
2024,Sabaragamuwa,Kegalle,English,Female,0
